Region,water,Latitude_N,Longitude,Location,Depth_m,Depth_range,SCOC (mmol O2 m-2 d-1),ex_in_situ,Measurement_sampling_device,TOU_DOU_AOU,sediment_type,photosynthetic_sediment,study
Bering Sea,Pacific Ocean,58.61,-161.93,approximated location,6,near-shore (0-50m),3.22,ex situ ,core incubation,TOU,NA,NA,no
Chatham Rise,Pacific Ocean,-43.8533,178.5783,exact location,489,continental slope (>200-2000m),3.22,ex situ ,core incubation,TOU,sandy silt,not investigated,no
Chukchi Sea,Arctic Ocean,71.91,-154.95,exact location,484,continental slope (>200-2000m),3.24,ex situ ,core incubation,TOU,NA,not investigated,no
New Zealand,Pacific Ocean,-30.99,177.5,exact location,4121.3,abyssal plain/ continental rise (>2000m),3.24,in situ,benthic incubation chamber,TOU,NA,not investigated,no
Arabian Sea,Indian Ocean,16.43,60.5,exact location,4050,abyssal plain/ continental rise (>2000m),3.27,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Taiwan,Pacific Ocean,22.3,120.19,exact location,1065,continental slope (>200-2000m),3.27,ex situ ,core incubation,TOU,clay/ silt,not investigated,no
Aegean Sea,Mediterranean Sea,40.12,25.5,exact location,123,continental shelf (>50-200m),3.28,in situ,lander with benthic chambers,TOU,muddy sand,NA,no
"northern shelf and slope region, New Zealand",Pacific Ocean,-35.4825,175.1172,approximated location,360,continental slope (>200-2000m),3.28,ex situ ,core incubation,TOU,silt/ clay,not investigated,no
Bering Sea,Pacific Ocean,62.97,-173.38,exact location,71,continental shelf (>50-200m),3.29,ex situ ,core incubation,TOU,silt,NA,no
Goban Spur,Atlantic Ocean,49.42,-11.52,exact location,670,continental slope (>200-2000m),3.3,in situ,lander with microprofiler,DOU,NA,not investigated,no
"Cap Ferret Canyon, Bay of Biscay",Atlantic Ocean,44.6677,-2.1333,exact location,1170,continental slope (>200-2000m),3.3,ex situ ,core microprofiling,DOU,NA,not investigated,no
Congo Canyon,Atlantic Ocean,-7.67,10,exact location,3994,abyssal plain/ continental rise (>2000m),3.3,ex situ,core microprofiling,DOU,NA,not investigated,no
Black Sea,Black Sea,43.69,30.05,exact location,141,continental shelf (>50-200m),3.3,ex situ ,core incubation,TOU,silt/ clay,no,no
Umpqua River shelf,Pacific Ocean,43.92,-124.69,exact location,190,continental shelf (>50-200m),3.3,in situ,lander with benthic chambers,TOU,NA,not investigated,no
"Sagami Bay, Japan",Pacific Ocean,35.0131,139.3612,exact location,1450,continental slope (>200-2000m),3.3,in situ,lander with microprofiler,DOU,NA,not investigated,no
"Sagami Bay, Japan",Pacific Ocean,35.0131,139.3612,exact location,1450,continental slope (>200-2000m),3.3,in situ,lander with microprofiler,DOU,NA,not investigated,no
"Sagami Bay, Japan",Pacific Ocean,35.0118,139.3615,exact location,1450,continental slope (>200-2000m),3.3,in situ,lander with microprofiler,DOU,NA,not investigated,no
Beaufort Sea,Arctic Ocean,72.84,-158.22,exact location,430,continental slope (>200-2000m),3.31,ex situ ,core microprofiling,DOU,NA,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,22.298,120.1931,exact location,1055,continental slope (>200-2000m),3.3153528,ex situ,core microprofiling,DOU,NA,not investigated,no
Beaufort Sea,Arctic Ocean,72.74,-161.3,exact location,50,near-shore (0-50m),3.33,ex situ ,core microprofiling,DOU,NA,NA,no
California,Pacific Ocean,35.4,-121.1,exact location,231,continental slope (>200-2000m),3.33,in situ,lander with benthic chambers,TOU,NA,not investigated,no
British Columbia,Pacific Ocean,48.4,-125.9,exact location,298,continental slope (>200-2000m),3.34,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.0071,-175.069,exact location,73,continental shelf (>50-200m),3.35,ex situ ,core incubation,TOU,silt/ very fine sand,NA,no
Aegean Sea,Mediterranean Sea,39.67,25.75,exact location,123,continental shelf (>50-200m),3.36,in situ,lander with benthic chambers,TOU,muddy sand,NA,no
"northern shelf and slope region, New Zealand",Pacific Ocean,-35.6459,174.8611,approximated location,154,continental shelf (>50-200m),3.36,ex situ ,core incubation,TOU,sand,not investigated,no
Bering Sea,Pacific Ocean,59.92,-179.45,exact location,2704,abyssal plain/ continental rise (>2000m),3.37,ex situ ,core incubation,TOU,NA,not investigated,no
"Cap Ferret Canyon, Bay of Biscay",Atlantic Ocean,44.6633,-2.1008,exact location,1670,continental slope (>200-2000m),3.4,ex situ ,core microprofiling,DOU,NA,not investigated,no
S Atlantic Ocean,Atlantic Ocean,-29.19,13.09,exact location,3095,abyssal plain/ continental rise (>2000m),3.4,ex situ,core microprofiling,DOU,NA,not investigated,no
"Sagami Bay, Japan",Pacific Ocean,35.0117,139.3623,exact location,1450,continental slope (>200-2000m),3.4,in situ,lander with microprofiler,DOU,NA,not investigated,no
"Sagami Bay, Japan",Pacific Ocean,35.0117,139.3623,exact location,1450,continental slope (>200-2000m),3.4,in situ,lander with microprofiler,DOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,71.49,-153.9,exact location,50,near-shore (0-50m),3.43,ex situ ,core incubation,TOU,NA,NA,no
Greenland,Arctic Ocean,74.3,-20.27,exact location,85,continental shelf (>50-200m),3.43,ex situ ,core incubation,TOU,NA,NA,no
Chatham Rise,Pacific Ocean,-44.15,178.5,exact location,1000,continental slope (>200-2000m),3.43,ex situ ,core incubation,TOU,sand/ silt,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,22.1628,120.621,exact location,213,continental slope (>200-2000m),3.4328144,ex situ,core incubation,TOU,NA,not investigated,no
Laptev Sea,Arctic Ocean,72.05,-154.07,exact location,1136,continental slope (>200-2000m),3.44,ex situ ,core incubation,TOU,NA,not investigated,no
Campeche Bank,Gulf of Mexico,22.48,-88.55,approximated location,48,near-shore (0-50m),3.44,ex situ ,core incubation,TOU,sand/ silt/ clay,yes,no
Barrow Canyon,Arctic Ocean,72.01,-154.7,exact location,1023,continental slope (>200-2000m),3.46,ex situ ,core incubation,TOU,NA,not investigated,no
Rockall Trough,Atlantic Ocean,55.03,-12.05,exact location,2880,abyssal plain/ continental rise (>2000m),3.46,ex situ ,core incubation,TOU,NA,not investigated,no
Adriatic Sea,Mediterranean Sea,42.85,14.75,exact location,246,continental slope (>200-2000m),3.46,in situ,lander with microprofiler,DOU,mud,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,22.3605,120.4464,exact location,44.8,near-shore (0-50m),3.4866711,ex situ,core microprofiling,DOU,fine silt,NA,no
Aegean Sea,Mediterranean Sea,40.12,25.5,exact location,123,continental shelf (>50-200m),3.49,in situ,lander with benthic chambers,TOU,muddy sand,NA,no
Bering Sea,Pacific Ocean,63.03,-173.46,exact location,73,continental shelf (>50-200m),3.49,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,55.31,-168.4,exact location,1622,continental slope (>200-2000m),3.49,ex situ ,core incubation,TOU,NA,not investigated,no
Greenland,Arctic Ocean,74.3,-20.25,exact location,36,near-shore (0-50m),3.5,ex situ ,core microprofiling,DOU,NA,NA,no
S Atlantic Ocean,Atlantic Ocean,-6.55,10.31,exact location,3107,abyssal plain/ continental rise (>2000m),3.5,ex situ,core incubation,TOU,NA,not investigated,no
Skagerrak/ Kattegat,Atlantic Ocean,57,11.2667,exact location,10,near-shore (0-50m),3.5,ex situ,core microprofiling,DOU,coarse sand,NA,no
Arabian Sea,Indian Ocean,14.43,64.57,exact location,3950,abyssal plain/ continental rise (>2000m),3.5,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,59.9,-177.91,exact location,488.6,continental slope (>200-2000m),3.5,ex situ ,core incubation,TOU,NA,not investigated,no
Oregon-California,Pacific Ocean,43.92,-124.69,exact location,190,continental shelf (>50-200m),3.5,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Greenland,Arctic Ocean,77.62,-7.64,exact location,40,near-shore (0-50m),3.51,ex situ ,core incubation,TOU,NA,NA,no
Greenland,Arctic Ocean,77.62,-7.64,exact location,40,near-shore (0-50m),3.51,ex situ ,core microprofiling,DOU,NA,NA,no
Shetland Faeroe-channel,Atlantic Ocean,62.8,-2.45,exact location,1248,continental slope (>200-2000m),3.51,in situ,lander with microprofiler,DOU,NA,not investigated,no
Bering Sea,Pacific Ocean,61.97,-175.05,exact location,79,continental shelf (>50-200m),3.52,ex situ ,core incubation,TOU,silt/ very fine sand/ fine sand,NA,no
East China Sea,Pacific Ocean,33.5962,123.6665,approximated location,56,continental shelf (>50-200m),3.545706371,ex situ,core incubation,TOU,clayey silt,NA,no
NE Water Polynya,Arctic Ocean,80.61,-11.28,exact location,262,continental slope (>200-2000m),3.55,NA,NA,NA,clay/ silt,not investigated,no
British Columbia,Pacific Ocean,48.31,-126.06,exact location,896,continental slope (>200-2000m),3.55,ex situ ,core incubation,TOU,NA,not investigated,no
Gulf of Mexico,Gulf of Mexico,28,-89.13,approximated location,900,continental slope (>200-2000m),3.56,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,71.87,-166.04,exact location,46,near-shore (0-50m),3.57,ex situ ,core incubation,TOU,NA,NA,no
Chatham Rise,Pacific Ocean,-43.83,178.5,exact location,450,continental slope (>200-2000m),3.57,ex situ ,core incubation,TOU,sand/ silt,not investigated,no
Gulf of Mexico,Gulf of Mexico,28.02,-90,approximated location,460,continental slope (>200-2000m),3.58,in situ,lander with benthic chambers,TOU,NA,not investigated,no
S Atlantic Ocean,Atlantic Ocean,1.95,3.55,exact location,4162,abyssal plain/ continental rise (>2000m),3.6,ex situ,core microprofiling,DOU,NA,not investigated,no
Sognefjord (Norway),Atlantic Ocean,61.14,6.02,exact location,1265,continental slope (>200-2000m),3.6,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Congo Canyon,Atlantic Ocean,-5.82,9.72,exact location,3174,abyssal plain/ continental rise (>2000m),3.6,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Skagerrak/ Kattegat,Atlantic Ocean,56.7833,10.75,exact location,14,near-shore (0-50m),3.6,ex situ,core microprofiling,DOU,muddy sand,NA,no
Lake Baikal,Lake,51.617,104.9,exact location,700,rift lake,3.6,ex situ,core microprofiling,DOU,NA,not investigated,no
Cretan Sea ,Mediterranean Sea,35.3833,25.1,exact location,100,continental shelf (>50-200m),3.6,in situ,lander with benthic chambers,TOU,sand/ silt,no,no
central Chile,Pacific Ocean,-35.2167,-73.1117,exact location,1445,continental slope (>200-2000m),3.6,in situ,lander with benthic chambers,TOU,NA,not investigated,no
"Sagami Bay, Japan",Pacific Ocean,35.0121,139.3614,exact location,1450,continental slope (>200-2000m),3.6,in situ,lander with microprofiler,DOU,NA,not investigated,no
East China Sea,Pacific Ocean,32.1622,124.3344,approximated location,41.4,near-shore (0-50m),3.601108033,ex situ,core incubation,TOU,silty clay,NA,no
Greenland,Arctic Ocean,74.3,-20.25,exact location,36,near-shore (0-50m),3.61,ex situ ,core microprofiling,DOU,NA,NA,no
"Taiwan, South China Sea",Pacific Ocean,21.9788,120.4239,exact location,962,continental slope (>200-2000m),3.6151404,ex situ,core incubation,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,72.33,-151.94,exact location,3274,abyssal plain/ continental rise (>2000m),3.62,ex situ ,core incubation,TOU,NA,not investigated,no
BIOTRANS Station,Atlantic Ocean,47.25,-19.6,exact location,4560,abyssal plain/ continental rise (>2000m),3.62,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Goban Spur,Atlantic Ocean,49.37,-11.8,exact location,1034,continental slope (>200-2000m),3.62,ex situ ,core microprofiling,DOU,NA,not investigated,no
Bering Sea/ Chukchi Sea,Arctic Ocean,66.116,-166.299,exact location,22,near-shore (0-50m),3.63,ex situ ,core incubation,TOU,NA,no,no
Chukchi Sea,Arctic Ocean,72.51,-153.6,exact location,3187,abyssal plain/ continental rise (>2000m),3.64,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.5132,-175.296,exact location,81,continental shelf (>50-200m),3.64,ex situ ,core incubation,TOU,silt,NA,no
Red Sea,Red Sea,21.45,38.23,exact location,1084,continental slope (>200-2000m),3.64,ex situ ,core incubation,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,69,-167.47,exact location,46,near-shore (0-50m),3.65,ex situ ,core incubation,TOU,NA,NA,no
"Skagerrak, North Sea",Atlantic Ocean,58.3,9.3,exact location,428,continental slope (>200-2000m),3.65,ex situ ,core microprofiling,DOU,NA,not investigated,no
Chatham Rise,Pacific Ocean,-43.82,178.5,exact location,450,continental slope (>200-2000m),3.65,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,61.9376,-172.2125,exact location,58,continental shelf (>50-200m),3.66,ex situ ,core incubation,TOU,silt/ very fine sand,NA,no
Chukchi Sea,Arctic Ocean,71.94,-154.91,exact location,634,continental slope (>200-2000m),3.67,ex situ ,core incubation,TOU,NA,not investigated,no
Adriatic Sea,Mediterranean Sea,42.85,14.75,exact location,246,continental slope (>200-2000m),3.67,in situ,lander with microprofiler,DOU,mud,not investigated,no
Aegean Sea,Mediterranean Sea,39.97,25.75,exact location,83,continental shelf (>50-200m),3.67,in situ,lander with benthic chambers,TOU,muddy sand,NA,no
Aegean Sea,Mediterranean Sea,39.97,25.75,exact location,83,continental shelf (>50-200m),3.67,in situ,lander with benthic chambers,TOU,muddy sand,NA,no
Svalbard,Arctic Ocean,79,5.9167,exact location,2010,abyssal plain/ continental rise (>2000m),3.68,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.28,-171.56,exact location,52,continental shelf (>50-200m),3.69,ex situ ,core incubation,TOU,NA,NA,no
Chesapeake Bay,Atlantic Ocean,39.3853,-76.1216,approximated location,9,near-shore (0-50m),3.7,ex situ ,core incubation,TOU,NA,NA,no
"Skagerrak, North Sea",Atlantic Ocean,57.83,8.73,exact location,537,continental slope (>200-2000m),3.7,ex situ ,core incubation,TOU,clay,not investigated,no
S Atlantic Ocean,Atlantic Ocean,-20.0967,8.9667,exact location,2321,abyssal plain/ continental rise (>2000m),3.7,ex situ,core microprofiling,DOU,NA,not investigated,no
Bering Sea,Pacific Ocean,59.89,-178.9,exact location,691,continental slope (>200-2000m),3.7,ex situ ,core incubation,TOU,NA,not investigated,no
central Chile,Pacific Ocean,-43.2167,-76,exact location,3459,abyssal plain/ continental rise (>2000m),3.7,in situ,core incubation,TOU,NA,not investigated,no
Chatham Rise,Pacific Ocean,-44,178.5,exact location,750,continental slope (>200-2000m),3.7,ex situ ,core incubation,TOU,NA,not investigated,no
Chatham Rise,Pacific Ocean,-43.43,178.5,exact location,350,continental slope (>200-2000m),3.72,ex situ ,core incubation,TOU,sand/ silt,not investigated,no
Bering Sea,Pacific Ocean,56.82,-164.78,approximated location,74,continental shelf (>50-200m),3.74,ex situ ,core incubation,TOU,NA,NA,no
"Lunenburg Bay, Nova Scotia",Atlantic Ocean,44.32,-64.29,approximated location,7,near-shore (0-50m),3.75,ex situ ,core incubation,TOU,NA,yes,no
Bering Sea,Pacific Ocean,62.15,-176.03,exact location,96,continental shelf (>50-200m),3.75,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.1481,-176.028,exact location,96,continental shelf (>50-200m),3.75,ex situ ,core incubation,TOU,silt,NA,no
Bering Sea,Pacific Ocean,63.37,-177.83,exact location,80,continental shelf (>50-200m),3.76,ex situ ,core incubation,TOU,NA,NA,no
Stor Bank Slope,Arctic Ocean,76.62,34.85,exact location,220,continental slope (>200-2000m),3.79,ex situ ,core incubation,TOU,silt/ clay,not investigated,no
Skagerrak/ Kattegat,Atlantic Ocean,58.2333,9.5333,exact location,695,continental slope (>200-2000m),3.8,ex situ,core microprofiling,DOU,clayey mud,not investigated,no
S Atlantic Ocean,Atlantic Ocean,-23.23,13.01,exact location,604,continental slope (>200-2000m),3.8,in situ,lander with microprofiler,DOU,NA,not investigated,no
S Atlantic Ocean,Atlantic Ocean,-28.95,14.17,exact location,1015,continental slope (>200-2000m),3.8,ex situ,core microprofiling,DOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.68,-173.37,exact location,70,continental shelf (>50-200m),3.8,ex situ ,core incubation,TOU,NA,NA,no
"Sagami Bay, Japan",Pacific Ocean,35.0131,139.3612,exact location,1450,continental slope (>200-2000m),3.8,in situ,lander with microprofiler,DOU,NA,not investigated,no
"Sagami Bay, Japan",Pacific Ocean,35.0116,139.3618,exact location,1450,continental slope (>200-2000m),3.8,in situ,lander with microprofiler,DOU,NA,not investigated,no
Gulf of Lions,Mediterranean Sea,42.98,4.25,exact location,98,continental shelf (>50-200m),3.83,ex situ ,core incubation,TOU,sand/ clay/ silt,NA,no
Chukchi Sea,Arctic Ocean,73.05,-160.42,exact location,185,continental shelf (>50-200m),3.84,ex situ ,core incubation,TOU,NA,not investigated,no
Hannah Shoal,Arctic Ocean,72.17,-159.04,exact location,50,near-shore (0-50m),3.84,ex situ ,core incubation,TOU,silt,NA,no
Svalbard,Arctic Ocean,76.6,34.8667,exact location,191,continental shelf (>50-200m),3.84,ex situ ,core microprofiling,DOU,NA,not investigated,no
Aegean Sea,Mediterranean Sea,39.77,25.73,exact location,89,continental shelf (>50-200m),3.86,in situ,lander with benthic chambers,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,71.96,-152.13,exact location,2135,abyssal plain/ continental rise (>2000m),3.88,ex situ ,core incubation,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,55.43,-168.06,exact location,204.2,continental slope (>200-2000m),3.88,ex situ ,core incubation,TOU,NA,not investigated,no
Black Sea,Black Sea,44,30.48,exact location,130,continental shelf (>50-200m),3.89,ex situ ,core incubation,TOU,silt/ clay,no,no
